Puesto,Tipo de viaje,ZONA_DESTINO,Tarifa diaria de vi?cos por dia,moneda
HB1,1,A,1650,1
KA02,1,A,1650,1
KA2,1,A,1650,1
KB1,1,A,1650,1
KB2,1,A,1650,1
KB3,1,A,1650,1
MB2,1,A,1250,1
MC03,1,A,1250,1
MC1,1,A,1250,1
MC2,1,A,1250,1
MC3,1,A,1250,1
NA1,1,A,1250,1
NB3,1,A,1250,1
NC1,1,A,1250,1
NC2,1,A,1250,1
NC3,1,A,1250,1
OB02,1,A,1250,1
OB2,1,A,1250,1
OC002,1,A,1250,1
OC02,1,A,1250,1
OC1,1,A,1250,1
OC2,1,A,1250,1
OC3,1,A,1250,1
PA1,1,A,1250,1
PA3,1,A,1250,1
PC1,1,A,1250,1
PC2,1,A,1250,1
PC3,1,A,1250,1
HB1,1,B,3240,1
KA02,1,B,3240,1
KA2,1,B,3240,1
KB1,1,B,3240,1
KB2,1,B,3240,1
KB3,1,B,3240,1
MB2,1,B,1700,1
MC03,1,B,1700,1
MC1,1,B,1700,1
MC2,1,B,1700,1
MC3,1,B,1700,1
NA1,1,B,1700,1
NB3,1,B,1700,1
NC1,1,B,1700,1
NC2,1,B,1700,1
NC3,1,B,1700,1
OB02,1,B,1700,1
OB2,1,B,1700,1
OC002,1,B,1700,1
OC02,1,B,1700,1
OC1,1,B,1700,1
OC2,1,B,1700,1
OC3,1,B,1700,1
PA1,1,B,1700,1
PA3,1,B,1700,1
PC1,1,B,1700,1
PC2,1,B,1700,1
PC3,1,B,1700,1
HB1,2,NO APLICA,450,2
KA02,2,NO APLICA,450,2
KA2,2,NO APLICA,450,2
KB1,2,NO APLICA,450,2
KB2,2,NO APLICA,450,2
KB3,2,NO APLICA,450,2
MB2,2,NO APLICA,450,2
MC03,2,NO APLICA,450,2
MC1,2,NO APLICA,450,2
MC2,2,NO APLICA,450,2
MC3,2,NO APLICA,450,2
NA1,2,NO APLICA,450,2
NB3,2,NO APLICA,450,2
NC1,2,NO APLICA,450,2
NC2,2,NO APLICA,450,2
NC3,2,NO APLICA,450,2
OB02,2,NO APLICA,450,2
OB2,2,NO APLICA,450,2
OC002,2,NO APLICA,450,2
OC02,2,NO APLICA,450,2
OC1,2,NO APLICA,450,2
OC2,2,NO APLICA,450,2
OC3,2,NO APLICA,450,2
PA1,2,NO APLICA,450,2
PA3,2,NO APLICA,450,2
PC1,2,NO APLICA,450,2
PC2,2,NO APLICA,450,2
PC3,2,NO APLICA,450,2
